Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ramp2,2.44164635334052,1.43907542464765,0.231905692413597,6.20543381091787,5.45462254598402e-10,1.0086124580246802e-9
Anxa5,2.02590643156178,1.38182133579083,0.207311033166944,6.66545004711868,2.63855545132941e-11,4.98760074450101e-11
Egfl7,1.93137973967051,1.35818447821726,0.226352428282543,6.00030884812032,1.96942571536041e-9,3.6077916245591604e-9
Ctla2a,2.04058331044021,1.35039637974291,0.223493281210118,6.04222360704138,1.52004600019556e-9,2.7899578484602e-9
Sparc,1.98762104710756,1.34565933343489,0.234614390626937,5.73562145885008,9.71554374424045e-9,1.75758580297817e-8
Cebpd,1.95364971759898,1.31826422708506,0.218478872162961,6.0338293311116,1.6011917405492101e-9,2.93734699900436e-9
Ahnak,1.96970577701003,1.29674102612548,0.204457947869648,6.34233611183566,2.26306903660757e-10,4.21298872007543e-10
Smpdl3a,1.96513098141334,1.29137949168833,0.210283625315627,6.14113195808766,8.19354805414647e-10,1.5099848488135801e-9
Trf,1.86226872638628,1.28001888252298,0.216169955322557,5.9213542446868,3.19301227528368e-9,5.82068240858418e-9
Il1b,1.84731370685074,1.25064967332839,0.228320231704741,5.47761214146677,4.31103792987554e-8,7.71332236296498e-8
Pltp,1.84677647222419,1.24684612440255,0.214870333927763,5.80278394699998,6.522281117304151e-9,1.18277948349236e-8
Atox1,2.87069651123453,1.22964232188751,0.205575972057692,5.98144962944612,2.2116045182374303e-9,4.047955490080481e-9
Gstm1,1.85755671026972,1.21932722305084,0.209517992672846,5.81967785914583,5.896115329112731e-9,1.06997121564291e-8
Plac9,1.80310400047637,1.21325339180343,0.233551281899897,5.19480510632969,2.04934416991044e-7,3.61282558829196e-7
Icam2,1.87739002264557,1.19161406552473,0.212271855650523,5.61362250248832,1.98134215401547e-8,3.56641587722784e-8
Ehd4,1.81173289365451,1.1907149809339,0.21611402565107601,5.5096608253291,3.59525780463112e-8,6.43816320417648e-8
Mpeg1,1.79767860136473,1.18354816981819,0.215576536708456,5.49015300036484,4.01585717449554e-8,7.18764767730729e-8
Tspan7,1.7758300533831,1.17751309078219,0.220836462306107,5.33205920112055,9.71052681821575e-8,1.72675694059227e-7
Aplp2,1.8088894341757,1.17614027600883,0.20446816045139,5.75219277863288,8.8093261078891e-9,1.59475229003576e-8
Tm4sf1,1.77086782684324,1.1692389756172,0.227338212111687,5.1431695743379,2.70141578240168e-7,4.75194284216909e-7
Flna,2.00005169860184,1.13997381619725,0.201142495239819,5.66749365835441,1.44901416541746e-8,2.61453644779784e-8
Sdpr,1.73930034825395,1.13275577151257,0.223163290832776,5.07590548286626,3.85654975852559e-7,6.76337636133163e-7
Cd36,1.7609520260155,1.13231098023734,0.211445141069446,5.35510522734331,8.55066403917142e-8,1.52206193638448e-7
Ms4a6c,1.80945925534017,1.12910400187665,0.226105654755471,4.9937008567864,5.92331215645264e-7,1.03600902853687e-6
Plvap,1.73376215088694,1.12383364754159,0.222695017873964,5.04651454833007,4.49942646730367e-7,7.88551490996312e-7
Serpinh1,1.72623406147935,1.11735343605935,0.215994527793318,5.17306363024404,2.3028654661327e-7,4.05565375614463e-7
Dstn,1.75288923741373,1.1067004881765,0.204553418439103,5.41032507117927,6.29104481655109e-8,1.12347772639058e-7
Klf4,1.84035974873967,1.0936332139345,0.208558979430917,5.24375990388249,1.57336914247817e-7,2.78029347452135e-7
Sgk1,1.71217673610583,1.09154376191198,0.208957682950104,5.2237550996037,1.75330635979809e-7,3.09616346351355e-7
Mt1,1.72003117898017,1.08861216598714,0.221380107577545,4.9173892717792,8.77060366614965e-7,1.52812253462287e-6
Tmem176b,1.76556571471872,1.0821268841739,0.214909251443825,5.03527361853365,4.77166749291568e-7,8.36123004800935e-7
Clec14a,1.70004476240779,1.08206438824055,0.219981700007902,4.91888365351152,8.70391827620161e-7,1.51701013027621e-6
Zyx,1.77284174160194,1.08205056392418,0.199856428752998,5.41413939334164,6.15841782061078e-8,1.1001690973165e-7
Gpx1,5.55364506895017,1.07286600004085,0.242766333550797,4.41933601067615,9.90046141338469e-6,1.67603076302475e-5
Id1,1.68777234997471,1.06647686889388,0.21264099725072,5.01538688532589,5.2926855454923e-7,9.26641574625853e-7
Xbp1,1.79165659154098,1.05609534527316,0.200529929923572,5.266522287599,1.39032374451639e-7,2.46214333562436e-7
Eln,1.6782147739222,1.05462030141708,0.230954154576673,4.56636211351184,4.9626120796374e-6,8.48504259931453e-6
A130040M12Rik,2.56793902005023,1.05377491537161,0.215584383903944,4.88799279562443,1.01869257418793e-6,1.77222970746908e-6
Mapk3,1.69278692525539,1.05058608995993,0.201829073447336,5.20532583346603,1.93656504370058e-7,3.41573560672987e-7
Cyr61,1.73063531924738,1.04605317174794,0.227118475241412,4.60575992611809,4.10962296882753e-6,7.04391131087825e-6
Hexa,1.77760065240241,1.03453263021456,0.203102123838589,5.09365737128743,3.51221254556882e-7,6.16467703021831e-7
1810027O10Rik,1.7548335478007,1.03437602868043,0.203421633789058,5.08488703690702,3.67844934124467e-7,6.45320301169457e-7
Lmo4,1.68505477284876,1.02216178960908,0.2098128103952,4.87177969583341,1.10597452699582e-6,1.92055456783706e-6
Calcrl,1.65719273917771,1.00808917651542,0.211949498354066,4.75627064156286,1.97202054051165e-6,3.40689962650035e-6
Adipor1,1.74917765264132,1.00787510175054,0.202223460008468,4.98396724943952,6.229362792772e-7,1.08917346435337e-6
Stmn1,1.68868904906915,1.00232840660228,0.227406316513643,4.40765420226199,1.0449620152555e-5,1.76727740794871e-5
Rab11a,1.74107540168517,0.996986214398254,0.202040664266467,4.93458194674786,8.03226167106634e-7,1.40041435948451e-6
Sh3bgrl,1.72850563266677,0.985725523875035,0.202865340149173,4.85901398016143,1.17971804241017e-6,2.04690981598175e-6
Itm2c,1.73510219378239,0.985609302837392,0.20380426163943,4.83605835770564,1.32439054387446e-6,2.2956395945624e-6
Nkg7,3.89262106064578,0.970838679023718,0.269393838185142,3.60378947627044,3.1361110542438e-4,5.0573060559631e-4
Ctsl,1.63199709199104,0.969091261713311,0.20969726446273,4.62138246865663,3.81191269191723e-6,6.54330294370534e-6
Bola2,1.71232110618269,0.963379081031207,0.20324616141567,4.73996199643321,2.1375830799809e-6,3.6910961553094e-6
App,1.61693124492327,0.963280742254979,0.203135864890687,4.74205154650236,2.11564773473713e-6,3.65442792035997e-6
Tnfaip2,1.60547367570244,0.951526892793945,0.209078944456207,4.55104121205877,5.33810899199159e-6,9.11214157560369e-6
4632428N05Rik,1.6756825097126,0.947040983003905,0.202754736331472,4.67086984076979,2.99926949150414e-6,5.15854587995111e-6
Hsd11b1,1.65989551195597,0.946494017251726,0.213482513825387,4.43359036902615,9.26766348825369e-6,1.57094344564651e-5
Cdkn1a,1.59381207318686,0.934382910501887,0.210948158104987,4.42944332340107,9.44766368883009e-6,1.60041552671404e-5
Txndc17,1.68973433096326,0.929647640544777,0.202485916084062,4.59117186283135,4.40764194219153e-6,7.5472825777398e-6
Tpd52,1.69237431404512,0.929000840837903,0.205970039967953,4.51036879432779,6.47150184417455e-6,1.10360142523983e-5
Csrp1,1.63981359325854,0.925872631951079,0.207987730120885,4.45157332796963,8.52434136363737e-6,1.44705892416869e-5
Efhd2,1.70142414446215,0.923725557461578,0.204636723290341,4.51397746508569,6.36229802605566e-6,1.08515587962786e-5
Klf6,2.04801588429764,0.923169795888284,0.189520462393104,4.87108243738579,1.10988516373837e-6,1.9270249641491e-6
Acvrl1,1.62832523526898,0.922568282521314,0.206135136685211,4.47555083212315,7.62145626276052e-6,1.29674060272523e-5
Tppp3,1.57979716307968,0.922417468282699,0.209226878117714,4.40869488940009,1.03995412492086e-5,1.75909284902362e-5
Tgfbi,1.63517367439241,0.921262964971631,0.206230919535057,4.46714278852366,7.92712220716471e-6,1.34743008535981e-5
Fcgr3,1.57780188340122,0.917371439626024,0.207009068939089,4.43155193309889,9.35572730489124e-6,1.58509888125713e-5
Rab2a,1.89282192023609,0.915744206791004,0.192093612842391,4.7671767595019,1.86825393196125e-6,3.22869906467066e-6
Nadk,1.62751892720163,0.912278988076866,0.204202524335418,4.46752061976658,7.9131386044249e-6,1.34527221999993e-5
Fmnl1,1.68680607130137,0.912254936194538,0.203906484884811,4.47388878637127,7.68097028385894e-6,1.30644069344228e-5
Oaz2,1.60831613134451,0.906481147228883,0.204782674619689,4.42655194787522,9.57513311047859e-6,1.62174545219657e-5
Clic4,1.6028751091207,0.906187334902611,0.205123665108583,4.41776103416892,9.97285921637309e-6,1.68746596789198e-5
Pgam1,1.68065710357087,0.900432675975694,0.203649194526901,4.42148901235526,9.80230498653243e-6,1.6599523772814e-5
Arhgap31,1.58516178503967,0.894838918655964,0.204640099666008,4.37274473632697,1.22694152982198e-5,2.07202678281163e-5
Pim1,1.67760705463839,0.894761622273197,0.206402584625088,4.33503109420095,1.45739520333093e-5,2.45763300319414e-5
Sirpa,1.58079714203346,0.893698274471367,0.208177490710759,4.29296304523656,1.76304359475576e-5,2.96300307940279e-5
Gzmb,1.5958824302973,0.883894249313371,0.235366954412728,3.75538805572262,1.7307310687064e-4,2.8166535241302e-4
Rhob,1.81234597964003,0.883632004515478,0.195968318698783,4.50905539417155,6.51169064307348e-6,1.11009226508307e-5
Igfbp4,1.6699379139743,0.883292151096846,0.209054145760231,4.22518361396149,2.38746034353263e-5,3.99632611615852e-5
Sod3,1.55892046285977,0.883049706482526,0.222777595979925,3.96381737848586,7.37606873692843e-5,1.2153749623348e-4
Rheb,1.67286832804179,0.882735543816555,0.203221476224319,4.34371189609005,1.40095218992334e-5,2.36397945091315e-5
Hpcal1,1.65037610773926,0.879652798212202,0.199618251703852,4.40667519479748,1.04969411249965e-5,1.77470551165932e-5
Nrp1,1.55378769452283,0.86512850785653606,0.205483082619962,4.21021768228278,2.55124750782592e-5,4.26501584975222e-5
Gyg,1.59411528926675,0.864465553980723,0.20783506285083,4.15938264758136,3.19108920642736e-5,5.32613450281401e-5
Ubl3,1.67476345539639,0.859788127735015,0.198954164935352,4.32153872232025,1.54944852380939e-5,2.61117717329621e-5
Comt,1.59832722160245,0.858811858372673,0.203644428238661,4.21721264755739,2.47340706163648e-5,4.13687435493189e-5
G0s2,1.5487217493339,0.853624526566227,0.210310633693573,4.05887477763001,4.93097454653971e-5,8.17262649085166e-5
Slc9a3r2,1.5731865196597,0.853479069434173,0.20810582273424,4.10117822855972,4.11051798406177e-5,6.83449717369086e-5
Cd164,1.61343896543217,0.852222441481835,0.207276207852983,4.11153045643472,3.93045013876145e-5,6.53926684440948e-5
Gm11428,1.70040692864642,0.851286639006622,0.222155405285075,3.83194204936959,1.2713569010642e-4,2.0784475488742e-4
Prkcd,1.64469651602955,0.846283386010049,0.206129067256036,4.10559945414621,4.0326773207234e-5,6.70720905342557e-5
Slc3a2,1.87217035543524,0.842360138830562,0.195229394559916,4.31471982346409,1.59805448063143e-5,2.69135163377837e-5
Brp44,1.6176112094351,0.840592413911449,0.203778390528179,4.12503215739753,3.70682960935053e-5,6.17804934891756e-5
Atp6ap1,1.62826758622932,0.834742277686707,0.203408305527439,4.10377676330479,4.0645968480593e-5,6.75922126373672e-5
